"jdn"	"julian_year"	"julian_month"	"julian_day"	"month_number"	"month_name"	"month_days"	"new_moon"	"diff"
1495972	-617	10	1	7	"Tashritu"	30	1495969.7568174363	2.243182563688606
1496001	-617	10	30	8	"Arahsamnu"	29	1495999.1845379914	1.8154620085842907
1496031	-617	11	29	9	"Kislimu"	30	1496028.6511088472	2.3488911527674645
1496060	-617	12	28	10	"Tebetu"	29	1496058.1710489243	1.8289510756731033
1496090	-616	1	27	11	"Shabatu"	30	1496087.7535615838	2.24643841618672
1496119	-616	2	25	12	"Addaru"	29	1496117.389985936	1.6100140640046448
1496149	-616	3	26	1	"Nisanu"	30	1496147.0519176293	1.9480823706835508
1496178	-616	4	24	2	"Aiaru"	29	1496176.7051688037	1.2948311963118613
1496208	-616	5	24	3	"Simanu"	30	1496206.3258103803	1.6741896197199821
1496237	-616	6	22	4	"Duzu"	29	1496235.9045412843	1.0954587156884372
1496267	-616	7	22	5	"Abu"	30	1496265.4410046104	1.5589953896123916
1496296	-616	8	20	6	"Ululu"	29	1496294.9379131142	1.0620868857949972
1496326	-616	9	19	7	"Tashritu"	30	1496324.4008540777	1.599145922344178
1496356	-616	10	19	8	"Arahsamnu"	30	1496353.8414043998	2.1585956001654267
1496385	-616	11	17	9	"Kislimu"	29	1496383.2769679804	1.7230320195667446
1496415	-616	12	17	10	"Tebetu"	30	1496412.7250109187	2.2749890813138336
1496444	-615	1	15	11	"Shabatu"	29	1496442.1963525182	1.8036474818363786
1496473	-615	2	13	12	"Addaru"	29	1496471.6936441814	1.3063558186404407
1496503	-615	3	15	1	"Nisanu"	30	1496501.216558701	1.7834412991069257
1496533	-615	4	14	2	"Aiaru"	30	1496530.7681130336	2.23188696638681
1496562	-615	5	13	3	"Simanu"	29	1496560.3542472634	1.645752736600116
1496592	-615	6	12	4	"Duzu"	30	1496589.975400244	2.024599756114185
1496621	-615	7	11	5	"Abu"	29	1496619.6173561853	1.382643814664334
1496651	-615	8	10	6	"Ululu"	30	1496649.2516189618	1.748381038196385
1496681	-615	9	9	7	"Ululu₂"	30	1496678.849157529	2.150842471048236
1496710	-615	10	8	8	"Tashritu"	29	1496708.3972029665	1.6027970334980637
1496740	-615	11	7	9	"Arahsamnu"	30	1496737.9027230795	2.097276920452714
1496769	-615	12	6	10	"Kislimu"	29	1496767.3795714388	1.620428561232984
1496798	-614	1	4	11	"Tebetu"	29	1496796.83402556	1.1659744400531054
1496828	-614	2	3	12	"Shabatu"	30	1496826.2645550384	1.7354449615813792
1496857	-614	3	4	13	"Addaru"	29	1496855.6751223728	1.3248776271939278
1496887	-614	4	3	1	"Nisanu"	30	1496885.0862604	1.9137395999860018
1496917	-614	5	3	2	"Aiaru"	30	1496914.5322062722	2.467793727759272
1496946	-614	6	1	3	"Simanu"	29	1496944.0461058386	1.9538941613864154
1496976	-614	7	1	4	"Duzu"	30	1496973.6423408873	2.357659112662077
1497005	-614	7	30	5	"Abu"	29	1497003.306566977	1.693433023057878
1497035	-614	8	29	6	"Ululu"	30	1497033.0020624404	1.9979375596158206
1497065	-614	9	28	7	"Tashritu"	30	1497062.6891712395	2.3108287604991347
1497094	-614	10	27	8	"Arahsamnu"	29	1497092.3406584286	1.6593415713869035
1497123	-614	11	25	9	"Kislimu"	29	1497121.9408545387	1.0591454613022506
1497153	-614	12	25	10	"Tebetu"	30	1497151.4768948648	1.5231051351875067
1497182	-613	1	23	11	"Shabatu"	29	1497180.9385943569	1.0614056431222707
1497212	-613	2	22	12	"Addaru"	30	1497210.3288246526	1.6711753474082798
1497242	-613	3	24	1	"Nisanu"	30	1497239.6709779678	2.3290220322087407
1497271	-613	4	22	2	"Aiaru"	29	1497269.0051029597	1.9948970403056592
1497300	-613	5	21	3	"Simanu"	29	1497298.3763390637	1.6236609362531453
1497330	-613	6	20	4	"Duzu"	30	1497327.8222553162	2.1777446838095784
1497360	-613	7	20	5	"Abu"	30	1497357.36369314	2.6363068600185215
1497389	-613	8	18	6	"Ululu"	29	1497387.0016566801	1.9983433198649436
1497419	-613	9	17	7	"Ululu₂"	30	1497416.718943128	2.2810568721033633
1497448	-613	10	16	8	"Tashritu"	29	1497446.4815649374	1.5184350626077503
1497478	-613	11	15	9	"Arahsamnu"	30	1497476.239270008	1.760729992063716
1497507	-613	12	14	10	"Kislimu"	29	1497505.9341491985	1.065850801533088
1497537	-612	1	13	11	"Tebetu"	30	1497535.522175151	1.477824849076569
1497566	-612	2	11	12	"Shabatu"	29	1497564.9922415675	1.007758432533592
1497596	-612	3	12	13	"Addaru"	30	1497594.365642043	1.634357956936583
1497626	-612	4	11	1	"Nisanu"	30	1497623.6812578351	2.318742164876312
1497655	-612	5	10	2	"Aiaru"	29	1497652.9813230233	2.018676976673305
1497684	-612	6	8	3	"Simanu"	29	1497682.3045072197	1.69549278030172
1497714	-612	7	8	4	"Duzu"	30	1497711.6853732574	2.314626742620021
1497744	-612	8	7	5	"Abu"	30	1497741.1559227193	2.8440772807225585
1497773	-612	9	5	6	"Ululu"	29	1497770.7428057112	2.257194288773462
1497803	-612	10	5	7	"Tashritu"	30	1497800.4542833813	2.545716618653387
1497832	-612	11	3	8	"Arahsamnu"	29	1497830.2600742118	1.7399257882498205
1497862	-612	12	3	9	"Kislimu"	30	1497860.0855782921	1.9144217078574002
1497891	-611	1	1	10	"Tebetu"	29	1497889.84263269	1.1573673100210726
1497921	-611	1	31	11	"Shabatu"	30	1497919.475862739	1.5241372610908002
1497951	-611	3	2	12	"Addaru"	30	1497948.9788716037	2.0211283962707967
1497980	-611	3	31	1	"Nisanu"	29	1497978.376729112	1.623270888114348
1498010	-611	4	30	2	"Aiaru"	30	1498007.703943666	2.2960563339293003
1498039	-611	5	29	3	"Simanu"	29	1498036.9948751703	2.00512482970953
1498068	-611	6	27	4	"Duzu"	29	1498066.2849781448	1.715021855197847
1498098	-611	7	27	5	"Abu"	30	1498095.6149845954	2.3850154045503587
1498127	-611	8	25	6	"Ululu"	29	1498125.030674675	1.96932532498613
1498157	-611	9	24	7	"Tashritu"	30	1498154.5728210702	2.427178929792717
1498187	-611	10	24	8	"Arahsamnu"	30	1498184.2561080065	2.743891993537545
1498216	-611	11	22	9	"Kislimu"	29	1498214.0484134485	1.9515865514986217
1498246	-611	12	22	10	"Tebetu"	30	1498243.8752564085	2.124743591528386
1498276	-610	1	21	11	"Shabatu"	30	1498273.6557627302	2.344237269833684
1498305	-610	2	19	12	"Addaru"	29	1498303.3369093854	1.6630906146019697
1498335	-610	3	21	1	"Nisanu"	30	1498332.899679205	2.100320795085281
1498364	-610	4	19	2	"Aiaru"	29	1498362.3488727612	1.6511272387579083
1498394	-610	5	19	3	"Simanu"	30	1498391.7051118999	2.2948881001211703
1498423	-610	6	17	4	"Duzu"	29	1498421.0020706765	1.997929323464632
1498452	-610	7	16	5	"Abu"	29	1498450.284118261	1.715881739044562
1498482	-610	8	15	6	"Ululu"	30	1498479.6011300893	2.3988699107430875
1498511	-610	9	13	7	"Ululu₂"	29	1498508.9995965369	2.0004034631419927
1498541	-610	10	13	8	"Tashritu"	30	1498538.5105233074	2.489476692629978
1498570	-610	11	11	9	"Arahsamnu"	29	1498568.1384691217	1.861530878348276
1498600	-610	12	11	10	"Kislimu"	30	1498597.859837905	2.140162094961852
1498630	-609	1	10	11	"Tebetu"	30	1498627.6319612798	2.3680387202184647
1498660	-609	2	9	12	"Shabatu"	30	1498657.403381507	2.5966184930875897
1498689	-609	3	10	13	"Addaru"	29	1498687.1209960678	1.8790039322338998
1498719	-609	4	9	1	"Nisanu"	30	1498716.741139743	2.258860256988555
1498748	-609	5	8	2	"Aiaru"	29	1498746.2447045487	1.7552954512648284
1498778	-609	6	7	3	"Simanu"	30	1498775.6445835384	2.35541646159254
1498807	-609	7	6	4	"Duzu"	29	1498804.9792408284	2.020759171573445
1498837	-609	8	5	5	"Abu"	30	1498834.298030214	2.701969786081463
1498866	-609	9	3	6	"Ululu"	29	1498863.6460216546	2.3539783454034477
1498895	-609	10	2	7	"Tashritu"	29	1498893.0531981017	1.9468018983025104
1498925	-609	11	1	8	"Arahsamnu"	30	1498922.5320989583	2.4679010417312384
1498954	-609	11	30	9	"Kislimu"	29	1498952.0848560478	1.9151439522393048
1498984	-609	12	30	10	"Tebetu"	30	1498981.710738213	2.2892617869656533
1499014	-608	1	29	11	"Shabatu"	30	1499011.4016207936	2.598379206378013
1499043	-608	2	27	12	"Addaru"	29	1499041.1285629403	1.8714370597153902
1499073	-608	3	28	1	"Nisanu"	30	1499070.8405883026	2.159411697415635
1499103	-608	4	27	2	"Aiaru"	30	1499100.4864554876	2.5135445124469697
1499132	-608	5	26	3	"Simanu"	29	1499130.040923773	1.959076226921752
1499162	-608	6	25	4	"Duzu"	30	1499159.5121169465	2.4878830534871668
1499191	-608	7	24	5	"Abu"	29	1499188.9295602632	2.0704397368244827
1499220	-608	8	22	6	"Ululu"	29	1499218.3266159403	1.6733840596862137
1499250	-608	9	21	7	"Ululu₂"	30	1499247.7281025108	2.271897489205003
1499279	-608	10	20	8	"Tashritu"	29	1499277.1479403297	1.8520596702583134
1499309	-608	11	19	9	"Arahsamnu"	30	1499306.5956908015	2.404309198493138
1499338	-608	12	18	10	"Kislimu"	29	1499336.0838240318	1.9161759682465345
1499368	-607	1	17	11	"Tebetu"	30	1499365.6259619368	2.3740380632225424
1499397	-607	2	15	12	"Shabatu"	29	1499395.2253714902	1.7746285097673535
1499427	-607	3	17	13	"Addaru"	30	1499424.8658605644	2.1341394355986267
1499457	-607	4	16	1	"Nisanu"	30	1499454.517462058	2.482537942007184
1499486	-607	5	15	2	"Aiaru"	29	1499484.1522844634	1.8477155365981162
1499515	-607	6	13	3	"Simanu"	29	1499513.7547775214	1.2452224786393344
1499545	-607	7	13	4	"Duzu"	30	1499543.3201837214	1.679816278629005
1499574	-607	8	11	5	"Abu"	29	1499572.8480376992	1.1519623007625341
1499604	-607	9	10	6	"Ululu"	30	1499602.339422369	1.6605776310898364
1499634	-607	10	10	7	"Tashritu"	30	1499631.7998439649	2.200156035134569
1499663	-607	11	8	8	"Arahsamnu"	29	1499661.2420572152	1.7579427848104388
1499693	-607	12	8	9	"Kislimu"	30	1499690.6831411037	2.316858896287158
1499722	-606	1	6	10	"Tebetu"	29	1499720.137536389	1.8624636109452695
1499751	-606	2	4	11	"Shabatu"	29	1499749.6125182305	1.3874817695468664
1499781	-606	3	6	12	"Addaru"	30	1499779.1102771293	1.8897228706628084
1499811	-606	4	5	1	"Nisanu"	30	1499808.6343202603	2.3656797397416085
1499840	-606	5	4	2	"Aiaru"	29	1499838.192592757	1.807407242944464
1499870	-606	6	3	3	"Simanu"	30	1499867.7921406247	2.2078593752812594
1499899	-606	7	2	4	"Duzu"	29	1499897.428451648	1.5715483520179987
1499929	-606	8	1	5	"Abu"	30	1499927.0790658453	1.920934154652059
1499958	-606	8	30	6	"Ululu"	29	1499956.7105715233	1.2894284767098725
1499988	-606	9	29	7	"Tashritu"	30	1499986.2968581724	1.7031418276019394
1500018	-606	10	29	8	"Arahsamnu"	30	1500015.832395203	2.167604797054082
1500047	-606	11	27	9	"Kislimu"	29	1500045.327533172	1.6724668280221522
1500077	-606	12	27	10	"Tebetu"	30	1500074.7926525981	2.207347401883453
1500106	-605	1	25	11	"Shabatu"	29	1500104.2296365388	1.770363461226225
1500135	-605	2	23	12	"Addaru"	29	1500133.6394426588	1.3605573412496597
1500165	-605	3	25	1	"Nisanu"	30	1500163.035722116	1.964277883991599
1500194	-605	4	23	2	"Aiaru"	29	1500192.4490233469	1.5509766531176865
1500224	-605	5	23	3	"Simanu"	30	1500221.9172384944	2.0827615056186914
1500254	-605	6	22	4	"Duzu"	30	1500251.46826795	2.531732050003484
1500283	-605	7	21	5	"Abu"	29	1500281.104181449	1.8958185510709882
1500313	-605	8	20	6	"Ululu"	30	1500310.79754564	2.202454359969124
1500342	-605	9	18	7	"Tashritu"	29	1500340.5052391565	1.4947608434595168
1500372	-605	10	18	8	"Arahsamnu"	30	1500370.1892196883	1.8107803117018193
1500401	-605	11	16	9	"Kislimu"	29	1500399.8256183877	1.1743816123344004
1500431	-605	12	16	10	"Tebetu"	30	1500429.3989091727	1.6010908272583038
1500460	-604	1	14	11	"Shabatu"	29	1500458.8964768497	1.1035231503192335
1500490	-604	2	13	12	"Addaru"	30	1500488.3146410033	1.6853589967358857
1500519	-604	3	13	13	"Addaru₂"	29	1500517.668369632	1.3316303680185229
1500549	-604	4	12	1	"Nisanu"	30	1500546.9922955078	2.0077044921927154
1500578	-604	5	11	2	"Aiaru"	29	1500576.3319828324	1.668017167598009
1500608	-604	6	10	3	"Simanu"	30	1500605.731431414	2.2685685860924423
1500637	-604	7	9	4	"Duzu"	29	1500635.2218486874	1.7781513126101345
1500667	-604	8	8	5	"Abu"	30	1500664.8149939538	2.1850060462020338
1500697	-604	9	7	6	"Ululu"	30	1500694.5022793915	2.4977206084877253
1500726	-604	10	6	7	"Tashritu"	29	1500724.2565439562	1.7434560437686741
1500756	-604	11	5	8	"Arahsamnu"	30	1500754.0327094896	1.9672905104234815
1500785	-604	12	4	9	"Kislimu"	29	1500783.7718873539	1.2281126461457461
1500815	-603	1	3	10	"Tebetu"	30	1500813.418456856	1.5815431440714747
1500844	-603	2	1	11	"Shabatu"	29	1500842.9438795098	1.0561204901896417
1500874	-603	3	3	12	"Addaru"	30	1500872.356129809	1.6438701909501106
1500904	-603	4	2	1	"Nisanu"	30	1500901.689183875	2.310816125012934
1500933	-603	5	1	2	"Aiaru"	29	1500930.986435784	2.0135642159730196
1500962	-603	5	30	3	"Simanu"	29	1500960.289738429	1.710261570988223
1500992	-603	6	29	4	"Duzu"	30	1500989.636039445	2.36396055505611
1501021	-603	7	28	5	"Abu"	29	1501019.0586244573	1.9413755426649004
1501051	-603	8	27	6	"Ululu"	30	1501048.5875080058	2.41249199421145
1501081	-603	9	26	7	"Tashritu"	30	1501078.2420105948	2.7579894051887095
1501110	-603	10	25	8	"Arahsamnu"	29	1501108.0124996803	1.9875003197230399
1501140	-603	11	24	9	"Kislimu"	30	1501137.8436130502	2.156386949820444
1501170	-603	12	24	10	"Tebetu"	30	1501167.6465049302	2.3534950697794557
1501199	-602	1	22	11	"Shabatu"	29	1501197.34419786	1.6558021400123835
1501229	-602	2	21	12	"Addaru"	30	1501226.907121889	2.092878110939637
1501258	-602	3	22	1	"Nisanu"	29	1501256.349060609	1.6509393909946084
1501288	-602	4	21	2	"Aiaru"	30	1501285.703335741	2.296664258930832
1501317	-602	5	20	3	"Simanu"	29	1501315.0059205873	1.9940794126596302
1501346	-602	6	18	4	"Duzu"	29	1501344.2917553675	1.7082446324639022
1501376	-602	7	18	5	"Abu"	30	1501373.5983689954	2.401631004642695
1501405	-602	8	16	6	"Ululu"	29	1501402.9688631273	2.0311368727125227
1501435	-602	9	15	7	"Ululu₂"	30	1501432.4475809685	2.5524190315045416
1501465	-602	10	15	8	"Tashritu"	30	1501462.064286396	2.935713604092598
1501494	-602	11	13	9	"Arahsamnu"	29	1501491.810787605	2.189212395111099
1501524	-602	12	13	10	"Kislimu"	30	1501521.630146784	2.369853215990588
1501554	-601	1	12	11	"Tebetu"	30	1501551.4394495161	2.5605504838749766
1501583	-601	2	10	12	"Shabatu"	29	1501581.1701496937	1.8298503062687814
1501613	-601	3	12	13	"Addaru"	30	1501610.7883652267	2.2116347732953727
1501642	-601	4	10	1	"Nisanu"	29	1501640.2895829212	1.71041707880795
1501672	-601	5	10	2	"Aiaru"	30	1501669.6879513124	2.3120486875995994
1501701	-601	6	8	3	"Simanu"	29	1501699.0111605239	1.9888394761364907
1501730	-601	7	7	4	"Duzu"	29	1501728.2984503575	1.7015496424864978
1501760	-601	8	6	5	"Abu"	30	1501757.5971153437	2.4028846563305706
1501789	-601	9	4	6	"Ululu"	29	1501786.9555443055	2.044455694500357
1501819	-601	10	4	7	"Tashritu"	30	1501816.4125287728	2.5874712271615863
1501848	-601	11	2	8	"Arahsamnu"	29	1501845.985097795	2.014902204973623
1501878	-601	12	2	9	"Kislimu"	30	1501875.6619768508	2.3380231491755694
1501908	-600	1	1	10	"Tebetu"	30	1501905.4087557544	2.5912442456465214
1501937	-600	1	30	11	"Shabatu"	29	1501935.1790540419	1.8209459581412375
1501967	-600	2	29	12	"Addaru"	30	1501964.9221417923	2.07785820774734
1501997	-600	3	30	1	"Nisanu"	30	1501994.5901464208	2.409853579243645
1502026	-600	4	28	2	"Aiaru"	29	1502024.1511824029	1.848817597143352
1502056	-600	5	28	3	"Simanu"	30	1502053.6019782573	2.3980217427015305
1502085	-600	6	26	4	"Duzu"	29	1502082.9688837081	2.0311162918806076
1502114	-600	7	25	5	"Abu"	29	1502112.2968202222	1.7031797778327018
1502144	-600	8	24	6	"Ululu"	30	1502141.6336217856	2.3663782144431025
1502173	-600	9	22	7	"Tashritu"	29	1502171.0162010454	1.9837989546358585
1502203	-600	10	22	8	"Arahsamnu"	30	1502200.4634266347	2.536573365330696
1502232	-600	11	20	9	"Kislimu"	29	1502229.9795025697	2.020497430348769
1502262	-600	12	20	10	"Tebetu"	30	1502259.5639645788	2.4360354212112725
1502292	-599	1	19	11	"Shabatu"	30	1502289.2147220946	2.785277905408293
1502321	-599	2	17	12	"Addaru"	29	1502318.9171628528	2.0828371471725404
1502350	-599	3	18	13	"Addaru₂"	29	1502348.6333924346	1.366607565432787
1502380	-599	4	17	1	"Nisanu"	30	1502378.31163321	1.6883667900692672
1502409	-599	5	16	2	"Aiaru"	29	1502407.9124639211	1.087536078877747
1502439	-599	6	15	3	"Simanu"	30	1502437.4272810973	1.5727189027238637
1502468	-599	7	14	4	"Duzu"	29	1502466.87560839	1.1243916100356728
1502498	-599	8	13	5	"Abu"	30	1502496.2893004725	1.7106995275244117
1502528	-599	9	12	6	"Ululu"	30	1502525.6966439176	2.303356082411483
1502557	-599	10	11	7	"Tashritu"	29	1502555.1145673539	1.8854326461441815
1502587	-599	11	10	8	"Arahsamnu"	30	1502584.5516086323	2.4483913676813245
1502616	-599	12	9	9	"Kislimu"	29	1502614.0168257544	1.9831742455717176
1502646	-598	1	8	10	"Tebetu"	30	1502643.5239680416	2.4760319583583623
1502675	-598	2	6	11	"Shabatu"	29	1502673.0843122331	1.9156877668574452
1502704	-598	3	7	12	"Addaru"	29	1502702.6943818585	1.3056181415449828
1502734	-598	4	6	1	"Nisanu"	30	1502732.3329341176	1.6670658823568374
1502764	-598	5	6	2	"Aiaru"	30	1502761.9721618583	2.027838141657412
1502793	-598	6	4	3	"Simanu"	29	1502791.5914108302	1.4085891698487103
1502823	-598	7	4	4	"Duzu"	30	1502821.1811340116	1.8188659884035587
1502852	-598	8	2	5	"Abu"	29	1502850.7379624404	1.2620375596452504
1502882	-598	9	1	6	"Ululu"	30	1502880.2597136265	1.7402863735333085
1502912	-598	10	1	7	"Tashritu"	30	1502909.7463016673	2.2536983327008784
1502941	-598	10	30	8	"Arahsamnu"	29	1502939.2041897597	1.7958102403208613
1502971	-598	11	29	9	"Kislimu"	30	1502968.6471846679	2.3528153321240097
1503000	-598	12	28	10	"Tebetu"	29	1502998.0911165671	1.9088834328576922
1503029	-597	1	26	11	"Shabatu"	29	1503027.5474883958	1.4525116041768342
1503059	-597	2	25	12	"Addaru"	30	1503057.0220982132	1.9779017867986113
